date,ticker,skew,theta,kappa,sigma,phi,stationary_std,half_life_days,z_score,expected_skew_horizon,expected_change_horizon,forecast_horizon_days,n_obs,r2,status,error
2025-01-17,UBER,0.011093,0.005656502335492472,203.9039157449665,0.5424580109364662,-0.4452396854645989,0.026862000097717813,0.8566441152585768,0.20238618288775195,0.005656502335648476,-0.0054364976643515245,30,10,0.19792773121958895,stationary_ar1_abs_phi_proxy,Strict OU rejected because AR(1) phi=-0.4452 is negative. Using stationary AR(1) mean/std with abs(phi) as an OU-style simulation proxy.
2025-01-21,UBER,-0.0048529999999999,0.005517365183933149,205.18863447405008,0.5429023493391514,-0.44297558957608235,0.02679970864240859,0.8512805299808011,-0.3869581316090392,0.005517365183677768,0.010370365183677668,30,10,0.1968994896112901,stationary_ar1_abs_phi_proxy,Strict OU rejected because AR(1) phi=-0.4430 is negative. Using stationary AR(1) mean/std with abs(phi) as an OU-style simulation proxy.
2025-01-22,UBER,-0.007913,0.00535899272709124,204.94387852449066,0.5443383607298787,-0.4434060402912326,0.02688663601318293,0.8522971789090684,-0.49362786480925985,0.0053589927267547405,0.01327199272675474,30,10,0.19571955936496166,stationary_ar1_abs_phi_proxy,Strict OU rejected because AR(1) phi=-0.4434 is negative. Using stationary AR(1) mean/std with abs(phi) as an OU-style simulation proxy.
2025-01-23,UBER,-0.005155,0.0046541211195016375,215.38491558415456,0.5661544160110036,-0.42540992480290396,0.027277983299737466,0.81098107092304,-0.35959847220802593,0.0046541211194298816,0.009809121119429881,30,10,0.17656833379640857,stationary_ar1_abs_phi_proxy,Strict OU rejected because AR(1) phi=-0.4254 is negative. Using stationary AR(1) mean/std with abs(phi) as an OU-style simulation proxy.
2025-01-24,UBER,-0.0024029999999999,0.004449237589130332,229.5982510962082,0.5818499831771899,-0.4020800137391365,0.027152619921171742,0.7607770907101258,-0.25236008934030446,0.004449237589121102,0.006852237589121002,30,10,0.1621906071844501,stationary_ar1_abs_phi_proxy,Strict OU rejected because AR(1) phi=-0.4021 is negative. Using stationary AR(1) mean/std with abs(phi) as an OU-style simulation proxy.
2025-01-27,UBER,0.021946,0.0044809475297197775,228.07455317672876,0.5800814175160398,-0.4045185232000367,0.02716036107245282,0.765859615060856,0.6430346203310977,0.004480947529747982,-0.01746505247025202,30,10,0.1636424984082534,stationary_ar1_abs_phi_proxy,Strict OU rejected because AR(1) phi=-0.4045 is negative. Using stationary AR(1) mean/std with abs(phi) as an OU-style simulation proxy.
2025-01-28,UBER,-0.019378,0.0003881697788909503,267.12133400737747,0.2348224983431624,-0.3464539763086938,0.01015945518746909,0.6539091688434066,-1.9455934805707893,0.0003881697788906446,0.019766169778890643,30,10,0.49364372364910625,stationary_ar1_abs_phi_proxy,Strict OU rejected because AR(1) phi=-0.3465 is negative. Using stationary AR(1) mean/std with abs(phi) as an OU-style simulation proxy.
2025-01-29,UBER,-0.0114159999999999,-0.0005342681809616105,195.18430247094662,0.22864052342377106,-0.4609153465821334,0.011572195563121153,0.894913613901438,-0.9403342485601205,-0.0005342681818433353,0.010881731818156565,30,10,0.26541397261693556,stationary_ar1_abs_phi_proxy,Strict OU rejected because AR(1) phi=-0.4609 is negative. Using stationary AR(1) mean/std with abs(phi) as an OU-style simulation proxy.
2025-01-30,UBER,0.027396,-0.0019229067485265182,362.18271862558333,0.32835012126523194,-0.23758424314583518,0.01219995759166217,0.4822789175694478,2.403197431486481,-0.0019229067485265182,-0.029318906748526517,30,10,0.054557920086932055,stationary_ar1_abs_phi_proxy,Strict OU rejected because AR(1) phi=-0.2376 is negative. Using stationary AR(1) mean/std with abs(phi) as an OU-style simulation proxy.
2025-01-31,UBER,0.0028809999999999,-9.164733086622667e-06,198.72361588611204,0.3285976134938962,-0.45448708694706086,0.016482560052642703,0.8789749961132495,0.17534683470624657,-9.164732932959759e-06,-0.00289016473293286,30,10,0.12460394482766257,stationary_ar1_abs_phi_proxy,Strict OU rejected because AR(1) phi=-0.4545 is negative. Using stationary AR(1) mean/std with abs(phi) as an OU-style simulation proxy.
